model,dataset,context_type,condition,n_item_models,completed_all_runs_rate,all_runs_same_rate,changed_across_runs_rate,mean_unique_answers,mean_pairwise_agreement,mean_accuracy_rate,mean_unknown_rate
llama_3_3_70b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.861904761904762,0.861904761904762
llama_3_3_70b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.9619047619047618,0.9428571428571428,0.023809523809523808
llama_3_3_70b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.9285714285714286,0.05714285714285714
mistral_small_3_2_24b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9878787878787879,0.9878787878787879
mistral_small_3_2_24b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
mistral_small_3_2_24b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9272727272727272,0.07272727272727272,1.0727272727272728,0.9515151515151515,0.8666666666666666,0.12727272727272726
mistral_small_3_2_24b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.8545454545454545,0.14545454545454545,1.1454545454545455,0.903030303030303,0.8363636363636363,0.15757575757575756
mistral_small_3_2_24b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714
mistral_small_3_2_24b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9142857142857143,0.08571428571428572,1.0857142857142856,0.9428571428571428,0.9047619047619048,0.9047619047619048
mistral_small_3_2_24b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1142857142857143,0.9238095238095239,0.7,0.2523809523809524
mistral_small_3_2_24b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.9619047619047618,0.7047619047619048,0.26190476190476186
mistral_small_3_2_24b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.9095238095238095,0.9095238095238095
mistral_small_3_2_24b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.9047619047619048,0.9047619047619048
mistral_small_3_2_24b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1142857142857143,0.9238095238095239,0.8809523809523809,0.09523809523809523
mistral_small_3_2_24b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9142857142857143,0.08571428571428572,1.0857142857142856,0.9428571428571428,0.8904761904761905,0.08571428571428572
qwen3_14b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,1.0,1.0
qwen3_14b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
qwen3_14b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9454545454545454,0.05454545454545454,1.0545454545454545,0.9636363636363636,0.6303030303030303,0.3696969696969697
qwen3_14b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9272727272727272,0.07272727272727272,1.0727272727272728,0.9515151515151515,0.6363636363636364,0.36363636363636365
qwen3_14b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,1.0,0.0,1.0,1.0,0.9857142857142858,0.9857142857142858
qwen3_14b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,1.0,0.0,1.0,1.0,0.9714285714285714,0.9714285714285714
qwen3_14b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.5714285714285714,0.4
qwen3_14b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.9619047619047618,0.5904761904761905,0.3523809523809524
qwen3_14b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,0.9285714285714286
qwen3_14b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,0.9285714285714286
qwen3_14b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.7523809523809524,0.2238095238095238
qwen3_14b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.7523809523809524,0.21904761904761905
qwen3_32b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9696969696969697,0.9696969696969697
qwen3_32b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
qwen3_32b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9454545454545454,0.05454545454545454,1.0545454545454545,0.9636363636363636,0.8545454545454545,0.12727272727272726
qwen3_32b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.8181818181818182,0.18181818181818182,1.1818181818181819,0.8787878787878788,0.793939393939394,0.2
qwen3_32b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.9476190476190476,0.9476190476190476
qwen3_32b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.8714285714285714,0.12857142857142856,1.1285714285714286,0.9142857142857143,0.9380952380952382,0.9380952380952382
qwen3_32b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1142857142857143,0.9238095238095239,0.7095238095238094,0.24285714285714285
qwen3_32b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.7857142857142857,0.21428571428571427,1.2142857142857142,0.8571428571428571,0.6476190476190476,0.3095238095238095
qwen3_32b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.9285714285714286,0.9285714285714286
qwen3_32b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.9476190476190476,0.9476190476190476
qwen3_32b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9142857142857143,0.08571428571428572,1.1,0.9380952380952382,0.8476190476190476,0.13333333333333333
qwen3_32b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.8285714285714286,0.17142857142857143,1.1857142857142857,0.8809523809523809,0.8,0.19047619047619047
qwen3_8b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9636363636363636,0.9636363636363636
qwen3_8b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
qwen3_8b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9636363636363636,0.03636363636363636,1.0363636363636364,0.9757575757575757,0.7757575757575758,0.1696969696969697
qwen3_8b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9272727272727272,0.07272727272727272,1.0727272727272728,0.9515151515151515,0.7515151515151516,0.19393939393939394
qwen3_8b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.861904761904762,0.861904761904762
qwen3_8b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.8761904761904762,0.8761904761904762
qwen3_8b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.7142857142857143,0.18095238095238095
qwen3_8b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.6904761904761905,0.20476190476190478
qwen3_8b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.8571428571428571,0.8571428571428571
qwen3_8b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.8476190476190476,0.8476190476190476
qwen3_8b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.861904761904762,0.06666666666666667
qwen3_8b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.8333333333333334,0.08095238095238094
